    | Name                          | Type                     | Params | Mode 
213 | decoder.block.3.attention1    | Identity                 | 0      | train
214 | decoder.block.3.conv2         | Sequential               | 27.7 K | train
215 | decoder.block.3.conv2.0       | Conv3d                   | 27.6 K | train
216 | decoder.block.3.conv2.1       | BatchNorm3d              | 64     | train
217 | decoder.block.3.conv2.2       | ReLU                     | 0      | train
218 | decoder.block.3.attention2    | Identity                 | 0      | train
219 | decoder.block.4               | MyDecoderBlock3d         | 20.8 K | train
220 | decoder.block.4.conv1         | Sequential               | 13.9 K | train
221 | decoder.block.4.conv1.0       | Conv3d                   | 13.8 K | train
222 | decoder.block.4.conv1.1       | BatchNorm3d              | 32     | train
223 | decoder.block.4.conv1.2       | ReLU                     | 0      | train
224 | decoder.block.4.attention1    | Identity                 | 0      | train
225 | decoder.block.4.conv2         | Sequential               | 6.9 K  | train
226 | decoder.block.4.conv2.0       | Conv3d                   | 6.9 K  | train
227 | decoder.block.4.conv2.1       | BatchNorm3d              | 32     | train
228 | decoder.block.4.conv2.2       | ReLU                     | 0      | train
229 | decoder.block.4.attention2    | Identity                 | 0      | train
230 | mask                          | Conv3d                   | 119    | train
231 | loss_fn                       | PerClassCrossEntropyLoss | 0      | train
-------------------------------------------------------------------------------------
30.8 M    Trainable params
0         Non-trainable params
30.8 M    Total params
123.019   Total estimated model params size (MB)
232       Modules in train mode
0         Modules in eval mode
